ukprn,provider_name,provider_type,provider_group,inspection_number,inspection_type,inspection_date,inspection_length_in_days
10003240,Icon Vocational Training Limited,Independent learning provider,Independent learning providers (including employer providers),10109422,Full Inspection,2019.12.10,3
10003289,Independent Training Services Limited,Independent learning provider,Independent learning providers (including employer providers),ITS429272,Full Inspection,2014.03.10,4
10003347,Intec Business Colleges Limited,Independent learning provider,Independent learning providers (including employer providers),ITS404569,Full Inspection,2013.04.22,4
10003354,Inter Training Services Limited,Independent learning provider,Independent learning providers (including employer providers),ITS445775,Full Inspection,2014.07.14,4
10034022,Introtrain (ACE) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS408520,Full Inspection,2013.04.23,3
10003382,Intuitions Limited,Independent learning provider,Independent learning providers (including employer providers),10004933,Full Inspection,2016.02.09,3
10003385,IPS International Limited,Independent learning provider,Independent learning providers (including employer providers),10037412,Full Inspection,2017.11.14,3
10003402,ENGINEERING TRUST TRAINING LIMITED,Independent learning provider,Independent learning providers (including employer providers),ITS343654,Full Inspection,2010.03.02,3
10003407,"Adult and Community Learning Service, Isle of Wight Council",Local authority provider,Adult community education providers,10123086,Full Inspection,2020.01.29,2
10001710,Council of the Isles of Scilly,Local authority provider,Adult community education providers,ITS399144,Full Inspection,2012.11.06,3
10003429,ITEC Learning Technologies,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003430,ITEC North East Limited,Independent learning provider,Independent learning providers (including employer providers),ITS404563,Full Inspection,2012.09.17,4
10003440,J & E Training Consultants Limited,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003456,Jarvis Training Management Limited,Independent learning provider,Independent learning providers (including employer providers),ITS388119,Full Inspection,2012.06.25,4
10006710,The JGA Group,Independent learning provider,Independent learning providers (including employer providers),10004937,Full Inspection,2015.12.07,3
10011332,Carole Plummer,Employer provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10042190,Jancett Childcare & Jace Training Limited,Independent learning provider,Independent learning providers (including employer providers),10054711,Full Inspection,2018.11.27,3
10003526,JTL,Independent learning provider,Independent learning providers (including employer providers),10020162,Full Inspection,2016.11.21,3
10003529,Juniper Training Limited,Independent learning provider,Independent learning providers (including employer providers),10030747,Full Inspection,2017.07.11,3
10003570,Kent Community Learning and Skills,Local authority provider,Adult community education providers,10119964,Full Inspection,2019.12.11,2
10003571,Keits Training Services Ltd,Independent learning provider,Independent learning providers (including employer providers),10081660,Full Inspection,2019.07.16,3
10003586,Kettering Borough Council,Local authority provider,Adult community education providers,10030708,Full Inspection,2017.09.20,2
10003593,Key Training Limited,Independent learning provider,Independent learning providers (including employer providers),10041165,Full Inspection,2018.02.20,3
10003688,Kirkdale Industrial Training Services Limited,Independent learning provider,Independent learning providers (including employer providers),ITS429111,Full Inspection,2014.01.14,3
10003692,Kirklees Council Adult and Community Learning,Local authority provider,Adult community education providers,10109413,Full Inspection,2019.09.25,2
10003709,Knowsley Metropolitan Borough Council,Local authority provider,Adult community education providers,10004945,Short inspection Conversion,2016.01.11,4
10003717,KPMG Limited Liability Partnership,Independent learning provider,Independent learning providers (including employer providers),10109514,Full Inspection,2020.02.04,3
10003724,Kwik-Fit (GB) Limited,Employer provider,Independent learning providers (including employer providers),ITS434402,Full Inspection,2015.04.20,4
10003744,LAGAT Limited,Independent learning provider,Independent learning providers (including employer providers),10030748,Full Inspection,2017.08.01,3
10011018,Lancashire Teaching Hospitals NHS Foundation Trust,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003771,Lancaster Training Services Limited,Independent learning provider,Independent learning providers (including employer providers),ITS376223,Full Inspection,2011.09.19,3
10003784,Genius Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003808,League Football Education,Independent learning provider,Independent learning providers (including employer providers),ITS386017,Full Inspection,2012.04.16,4
10028742,Social Enterprise Kent CIC,Independent learning provider,Independent learning providers (including employer providers),ITS345929,Full Inspection,2010.06.22,3
10010534,Learning Concepts Ltd,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003834,Learning Innovations Training Team Ltd,Independent learning provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003841,V Learning Net,Independent learning provider,Independent learning providers (including employer providers),ITS343087,Full Inspection,2009.11.24,3
10003853,Leeds City Council,Local authority provider,Adult community education providers,ITS410634,Full Inspection,2013.04.15,4
10011138,Leeds Teaching Hospitals NHS Trust,Employer provider,Independent learning providers (including employer providers),NULL,NULL,NA,NA
10003866,Leicester City Council,Local authority provider,Adult community education providers,ITS427779,Full Inspection,2013.11.25,4
10003872,Leicestershire County Council,Local authority provider,Adult community education providers,ITS452656,Full Inspection,2015.05.11,4
10003889,Leslie Frances (Hair Fashions) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS423776,Full Inspection,2013.09.23,3
10003909,Lifeskills Solutions Limited,Independent learning provider,Independent learning providers (including employer providers),10011491,Full Inspection,2016.06.20,3
10003919,TheLightbulb Ltd,Independent learning provider,Independent learning providers (including employer providers),10004951,Full Inspection,2016.01.26,3
10003932,Lincolnshire County Council,Local authority provider,Adult community education providers,10054591,Full Inspection,2019.06.11,3
10008354,Lite (Stockport) Limited,Independent learning provider,Independent learning providers (including employer providers),ITS463358,Full Inspection,2015.06.30,3
10003728,L.I.T.S. Limited,Independent learning provider,Independent learning providers (including employer providers),10004952,Full Inspection,2015.10.21,2
10003954,Liverpool City Council,Local authority provider,Adult community education providers,ITS345778,Full Inspection,2010.04.26,4
10003976,Locomotivation Ltd,Independent learning provider,Independent learning providers (including employer providers),ITS345937,Full Inspection,2010.03.15,4
10000143,Adult College of Barking and Dagenham,Local authority provider,Adult community education providers,10020127,Full Inspection,2016.12.06,3
10000146,The Learning and Enterprise College Bexley,Local authority provider,Adult community education providers,10123093,Full Inspection,2020.03.03,3
10000863,Brent Start Adult Education Service,Local authority provider,Adult community education providers,ITS385052,Full Inspection,2012.03.19,4
10003987,Bromley London Borough Council,Local authority provider,Adult community education providers,10078062,Full Inspection,2019.01.15,3
10003988,Camden London Borough Council,Local authority provider,Adult community education providers,ITS366691,Full Inspection,2011.05.09,4
10003989,Croydon London Borough Council,Local authority provider,Adult community education providers,ITS345784,Full Inspection,2010.06.07,4
10002260,Enfield London Borough Council,Local authority provider,Adult community education providers,10052055,Full Inspection,2018.06.18,2
10003990,Royal Borough of Greenwich,Local authority provider,Adult community education providers,ITS410635,Full Inspection,2013.05.14,3
10002868,Hammersmith and Fulham Adult Learning and Skills Service,Local authority provider,Adult community education providers,ITS345786,Full Inspection,2010.06.21,4
10002859,Haringey London Borough Council,Local authority provider,Adult community education providers,10008488,Full Inspection,2016.11.01,3
10003993,Havering London Borough Council,Local authority provider,Adult community education providers,ITS434068,Full Inspection,2014.10.13,4
10003089,Hillingdon London Borough Council,Local authority provider,Adult community education providers,ITS363140,Full Inspection,2011.02.14,4
10003165,Hounslow Adult and Community Education,Local authority provider,Adult community education providers,ITS446662,Full Inspection,2014.12.01,4
10003414,"Adult & Community Learning Service, Islington London Borough Council",Local authority provider,Adult community education providers,ITS363142,Full Inspection,2011.02.14,4
10003995,Lambeth London Borough Council,Local authority provider,Adult community education providers,10005431,Full Inspection,2015.10.06,3
10003895,Lewisham London Borough Council,Local authority provider,Adult community education providers,ITS429148,Full Inspection,2014.02.03,4
10003997,London Borough of Newham: Adult Learning Service,Local authority provider,Adult community education providers,10004960,Short inspection Conversion,2016.03.09,6
10005412,Redbridge Institute of Adult Education,Local authority provider,Adult community education providers,10046756,Short inspection Conversion,2018.05.01,8
